                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1846,                 4.8622,                 4.2799,                0.00095,                0.11404,                0.00092,                0.00051,                 2.5627,                 4.5059,                 4.1534,              0.0001818,              0.0001818,              0.0001818
                      1,                 3.1569,                 4.6509,                 4.1443,                0.00091,                0.05263,                0.00075,                0.00027,                 2.5444,                 4.6363,                 4.1317,               0.000369,               0.000369,               0.000369
                      2,                 3.0756,                 4.2897,                 3.9127,                  0.001,                0.05263,                 0.0034,                0.00158,                 2.5134,                 4.5822,                  4.129,             0.00055242,             0.00055242,             0.00055242
                      3,                 2.9316,                 3.9847,                 3.6598,                0.00083,                0.03509,                0.00212,                0.00093,                 2.3786,                 4.8559,                 3.8266,             0.00073206,             0.00073206,             0.00073206
                      4,                 2.8232,                 3.7856,                 3.4563,                0.00794,                0.17544,                0.06762,                0.02162,                 2.1762,                 5.4833,                 3.0812,               0.000873,               0.000873,               0.000873
                      5,                 2.7131,                 3.5839,                  3.291,                0.05679,                0.36922,                 0.1685,                  0.066,                 2.1641,                 6.1163,                 2.9811,               0.000873,               0.000873,               0.000873
                      6,                 2.4918,                 3.4022,                 3.0952,                0.36583,                 0.3853,                0.33174,                0.14788,                 2.1756,                 6.2917,                 3.5303,               0.000864,               0.000864,               0.000864
                      7,                 2.4821,                 3.2434,                  3.029,                0.60503,                0.37374,                0.44801,                0.21296,                 1.9702,                 3.7316,                 2.7276,             0.00085501,             0.00085501,             0.00085501
                      8,                 2.2901,                 3.0737,                 2.8511,                0.44202,                0.65811,                0.49664,                0.29998,                 1.7623,                 2.8793,                 2.5742,             0.00084601,             0.00084601,             0.00084601
                      9,                 2.1926,                 2.8957,                 2.7803,                0.67789,                0.61111,                0.56684,                0.35979,                 1.7229,                 3.3075,                 2.4373,             0.00083701,             0.00083701,             0.00083701
                     10,                 2.1174,                 2.8823,                 2.6679,                 0.5632,                 0.3876,                0.53113,                0.27463,                 1.8168,                 3.2144,                 2.4104,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.9622,                 2.6683,                 2.5349,                0.38468,                0.91757,                0.61502,                 0.4314,                 1.3542,                 2.9604,                 1.9872,             0.00081901,             0.00081901,             0.00081901
                     12,                  1.865,                 2.4812,                 2.4331,                0.56068,                0.95614,                 0.6555,                0.45726,                  1.265,                 1.5708,                 1.9064,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.7999,                 2.3858,                  2.365,                0.57527,                0.86689,                0.66926,                0.49891,                 1.1322,                 1.7686,                 1.8017,             0.00080101,             0.00080101,             0.00080101
                     14,                 1.6986,                 2.2668,                 2.2357,                0.63924,                0.70447,                0.66186,                0.48275,                 1.4233,                   2.28,                 2.0075,             0.00079201,             0.00079201,             0.00079201
                     15,                 1.5906,                 2.2091,                 2.1531,                0.54176,                0.94895,                0.67071,                0.54012,                0.92307,                 1.3546,                 1.6043,             0.00078301,             0.00078301,             0.00078301
                     16,                 1.5613,                 2.0875,                 2.1028,                 0.5717,                0.94284,                0.68332,                0.54441,                 0.9546,                 1.6233,                 1.5896,             0.00077401,             0.00077401,             0.00077401
                     17,                 1.5545,                 2.0549,                 2.0665,                0.60201,                0.93167,                 0.6778,                0.49495,                 1.0088,                 1.4593,                 1.5411,             0.00076501,             0.00076501,             0.00076501
                     18,                 1.5157,                 1.9661,                 2.0427,                0.60176,                0.96491,                0.66818,                0.50359,                0.98296,                 1.8315,                 1.5568,             0.00075602,             0.00075602,             0.00075602
                     19,                 1.4496,                 1.8705,                 1.9831,                0.61493,                0.94737,                0.71948,                0.59078,                0.85431,                 1.2442,                 1.4292,             0.00074702,             0.00074702,             0.00074702
                     20,                 1.4058,                 1.8691,                 1.9238,                0.60956,                0.89031,                0.69521,                0.57209,                0.98862,                 1.4659,                 1.5512,             0.00073802,             0.00073802,             0.00073802
                     21,                 1.3612,                 1.8477,                 1.8834,                 0.6081,                0.92809,                0.74438,                0.59704,                 0.9234,                 1.0527,                  1.527,             0.00072902,             0.00072902,             0.00072902
                     22,                 1.3892,                 1.7752,                 1.8772,                0.62974,                0.97592,                 0.7352,                 0.6204,                0.81717,                 1.0562,                 1.3775,             0.00072002,             0.00072002,             0.00072002
                     23,                 1.3495,                  1.769,                 1.8647,                0.62677,                0.99123,                0.73543,                0.61659,                0.78626,                0.95258,                 1.3159,             0.00071102,             0.00071102,             0.00071102
                     24,                 1.2633,                 1.6296,                 1.7804,                0.65293,                0.93685,                0.69652,                  0.574,                0.78109,                 1.1523,                 1.2704,             0.00070202,             0.00070202,             0.00070202
                     25,                 1.2826,                 1.6082,                 1.7882,                0.65756,                0.96608,                0.78707,                0.67677,                0.74824,                 0.8811,                 1.2874,             0.00069302,             0.00069302,             0.00069302
                     26,                 1.2837,                 1.6028,                 1.7704,                0.64984,                0.97547,                0.70819,                0.60752,                0.76504,                 1.2099,                 1.2788,             0.00068402,             0.00068402,             0.00068402
                     27,                  1.229,                 1.5608,                  1.725,                0.63578,                0.99123,                0.76604,                0.62515,                0.81097,                0.87383,                 1.2915,             0.00067502,             0.00067502,             0.00067502
                     28,                 1.2852,                 1.6038,                 1.7927,                 0.6219,                      1,                0.73346,                0.63946,                0.68213,                 0.9707,                 1.1944,             0.00066602,             0.00066602,             0.00066602
                     29,                 1.2261,                 1.5465,                 1.7318,                0.62692,                0.99123,                0.77799,                0.62433,                0.87935,                0.87974,                 1.3565,             0.00065703,             0.00065703,             0.00065703
                     30,                 1.2164,                 1.5228,                 1.7201,                 0.6538,                0.96345,                0.75156,                0.66409,                0.67365,                0.85336,                  1.209,             0.00064803,             0.00064803,             0.00064803
                     31,                 1.2018,                 1.4883,                 1.7012,                0.62558,                0.98582,                0.76482,                0.64825,                0.71901,                0.97911,                 1.1973,             0.00063903,             0.00063903,             0.00063903
                     32,                 1.1627,                 1.4344,                 1.6634,                0.63643,                0.99123,                0.74235,                0.65935,                0.69838,                0.84498,                 1.1767,             0.00063003,             0.00063003,             0.00063003
                     33,                  1.142,                 1.4042,                 1.6285,                0.63621,                0.93955,                0.76341,                0.65764,                0.69951,                0.95881,                 1.1968,             0.00062103,             0.00062103,             0.00062103
                     34,                 1.1586,                 1.3818,                 1.6357,                 0.6556,                0.95831,                0.77416,                0.65498,                0.76168,                0.88449,                 1.2468,             0.00061203,             0.00061203,             0.00061203
